Minangkabau	Indonesia
========================================
a	a
aba	aba
abad	abad
abadi	abadi
abai	abai
abaik	abad
abak	ayah
abaknyo	bapaknya
abang	abang
abangnyo	abangnya
abc	abc
abdi	abdi
abduh	abduh
abdul	abdul
abdullah	abdullah
abdurrahman	abdurrahman
abel	abel
abi	abi
abidin	abidin
abih	habis
abis	abis
abjad	abjad
abraham	abraham
absolut	absolut
abu	abu
abuak	rambut
abuan	abuan
abuih	rebus
ac	ac
acar	acar
acara	acara
acaro	acara
ace	ace
aceh	aceh
achmad	achmad
acok	sering
acokbana	sering
acokkali	sering
acorus	acorus
acuan	acuan
acuminata	acuminata
ad	ad
ada	ada
adab	adab
adaik	adat
adaiknyo	adatnya
adalah	adalah
adaloh	adalah
adam	adam
adang	adang
adanyo	adanya
adaolah	adalah
adaptasi	adaptasi
adapun	adapun
adat	adat
ade	ade
adegan	adegan
adeh	adeh
aden	saya
adi	adi
adia	adil
adiak	adik
adiaknyo	adiknya
adiktif	adiktif
adil	adil
adipati	adipati
adipura	adipura
administrasi	administrasi
administratif	administratif
adnan	adnan
ado	ada
adokan	adakan
adola	adalah
adolah	adalah
adolf	adolf
adolo	ada
adonan	adonan
adonya	adanya
adonyo	adanya
adopulo	adapula
adopun	adapun
adrenal	adrenal
adu	adu
aduak	aduk
advokasi	advokasi
advokat	advokat
aek	tua
aer	air
afa	afa
affinis	affinis
afganistan	afganistan
afghanistan	afghanistan
afrika	afrika
agak	agak
agam	agam
agama	agama
agamanyo	agamanya
agamo	agama
agamonyo	agamanya
agar	agar
agen	agen
agenda	agenda
agia	beri
agiah	beri
agraria	agraria
agresi	agresi
agresif	agresif
agro	agro
aguang	agung
aguih	agus
agung	agung
agus	agus
agustus	agustus
ah	ah
ahad	ahad
ahli	ahli
ahlul	ahlul
ahmad	ahmad
ahsan	ahsan
ahzab	ahzab
ai	ai
aia	air
aianyo	airnya
aie	air
ain	ain
air	air
airku	airku
airnyo	airnya
ais	ais
ajaib	ajaib
ajaibnyo	ajaibnya
ajang	ajang
ajaran	ajaran
ajarannyo	ajarannya
aji	aji
ak	ak
aka	aka
akademi	akademi
akademik	akademik
akademis	akademis
akademisi	akademisi
akademisnyo	akademisnya
akaik	akad
akal	akal
akan	akan
akanyo	akalnya
akar	akar
akbar	akbar
akhia	akhir
akhianyo	akhirnya
akhinyo	akhirnya
akhir	akhir
akhirnya	akhirnya
akhirnyo	akhirnya
akhlak	akhlak
aki	aki
akia	akhir
akianyo	akhirnya
akibaik	akibat
akibaiknyo	akibatnya
akibatnyo	akibatnya
akibek	akibat
akomodasi	akomodasi
akr	akr
akrab	akrab
akreditasi	akreditasi
akronim	akronim
aksara	aksara
aksen	aksen
akses	akses
aksi	aksi
akta	akta
aktif	aktif
aktifitas	aktifitas
aktifnyo	aktifnya
akting	akting
aktip	aktip
aktivis	aktivis
aktivitas	aktivitas
aktor	aktor
aktris	aktris
aku	aku
akun	akun
akuntansi	akuntansi
akurat	akurat
akustik	akustik
akut	akut
al	al
ala	ala
alah	telah
alahan	alahan
alai	lagi
alaihi	alaihi
alaik	alat
alaiknyo	alatnya
alam	alam
alamaik	alamat
alami	alami
alamnyo	alamnya
alan	alan
alang	alang
alap	alap
alas	alas
alasan	alasan
alasannyo	alasannya
alat	alat
alba	alba
albania	albania
album	album
aleh	alas
alek	kondangan
alergi	alergi
alfa	alfa
ali	ali
aliah	alih
aliansi	aliansi
aliaran	aliran
alias	alias
alif	alif
alih	alih
alim	alim
alin	alin
aliran	aliran
aliyah	aliyah
aljazair	aljazair
alkali	alkali
alkaloid	alkaloid
alkitab	alkitab
alkohol	alkohol
allah	allah
allahu	allahu
almanak	almanak
almarhum	almarhum
almarhumah	almarhumah
alo	alo
alokasi	alokasi
alpen	alpen
alquran	alquran
alternatif	alternatif
aluang	alung
aluih	halus
aluihnyo	halusnya
alum	alum
alumni	alumni
